feature,variable_type,variable_name,has_dest,has_src,default_value,WEAP_unit,dimension,hydra_unit
demand_site,,Annual Activity Level,,,,cap,Dimensionless,-
demand_site,,Demand Priority,,,,,Dimensionless,-
demand_site,,Consumption,,,,%,Dimensionless,%
demand_site,,DSM Savings,,,,%,Dimensionless,%
demand_site,,Loss Rate,,,,%,Dimensionless,%
demand_site,,Monthly Variation,,,,% share,Dimensionless,%
demand_site,,Reuse Rate,,,,%,Dimensionless,%
demand_site,Water Quality,BOD Intensity,,,,kg/cap,Mass,kg cap^-1
demand_site,Water Quality,DO Intensity,,,,kg/cap,Mass,kg cap^-1
demand_site,,Annual Water Use Rate,,,,m^3/cap,Volume,m^3
demand_site,Water Quality,BOD Concentration,,,,mg/l,Concentration,mg l^-1
demand_site,Water Quality,BOD Inflow,,,,mg/l,Concentration,mg l^-1
demand_site,Water Quality,DO Concentration,,,,mg/l,Concentration,mg l^-1
demand_site,Water Quality,DO Inflow,,,,mg/l,Concentration,mg l^-1
demand_site,,Capital Costs,,,,$,Monetary value,USD
demand_site,,Fixed Benefits,,,,$,Monetary value,USD
demand_site,,Fixed Operating Costs,,,,$,Monetary value,USD
demand_site,,DSM Cost,,,,$/m^3,Unit price (volume),USD m^-3
demand_site,,Variable Benefits,,,,$/m^3,Unit price (volume),USD m^-3
demand_site,,Variable Operating Costs,,,,$/m^3,Unit price (volume),USD m^-3
diversion,,Evaporation,,,,%,Dimensionless,%
diversion,,Groundwater Outflow,TRUE,,,%,Dimensionless,%
diversion,,River Flooding Fraction,,,,%,Dimensionless,%
diversion,,Groundwater Inflow,,TRUE,,Million m^3,Volume,1e6 m^3
diversion,Water Quality,Water Temperature,,,,,Temperature,°C
diversion,,Distance Marker,,,,km,Length,km
diversion,,Flow Stage Width,,,,,Length,m
diversion,,Reach Length,,,,m,Length,m
diversion,,River Flooding Threshold,,,,CMS,Volumetric flow rate,m^3 s^-1
diversion,,Surface Water Inflow,,,,CMS,Volumetric flow rate,m^3 s^-1
diversion,Water Quality,BOD Concentration,,,,mg/l,Concentration,mg l^-1
diversion,Water Quality,DO Concentration,,,,mg/l,Concentration,mg l^-1
diversion,,Capital Costs,,,,$,Monetary value,USD
diversion,,Fixed Benefits,,,,$,Monetary value,USD
diversion,,Fixed Operating Costs,,,,$,Monetary value,USD
diversion,,Variable Benefits,,,,$/m^3,Unit price (volume),USD m^-3
diversion,,Variable Operating Costs,,,,$/m^3,Unit price (volume),USD m^-3
flow_requirement,,Priority,,,,,Dimensionless,-
flow_requirement,,Minimum Flow Requirement,,,,CMS,Volumetric flow rate,m^3 s^-1
flow_requirement,,Capital Costs,,,,$,Monetary value,USD
flow_requirement,,Fixed Benefits,,,,$,Monetary value,USD
flow_requirement,,Fixed Operating Costs,,,,$,Monetary value,USD
flow_requirement,,Variable Benefits,,,,$/m^3,Unit price (volume),USD m^-3
