UnitID,UnitClassID,UnitOrder,Name,NameNTV,Conversion,Abbreviation,AbbreviationNTV,IsFixedScale,FixedScale,LReadOnly
1,1,2,Kilogramme,Kilogramme,1,kg,kg,,,TRUE
2,1,1,Tonne,Tonne,1000,t,t,,,TRUE
3,1,2,Gramme,Gramme,0.001,g,g,,,TRUE
4,1,2,Milligramme,Milligramme,1.00E-06,mg,mg,,,TRUE
5,1,2,Pound,Pound,0.45359237,lb,lb,,,TRUE
6,1,2,Short Ton,Short Ton,907.18474,ton,ton,,,TRUE
7,2,1,Gigajoule,Gigajoule,1,GJ,GJ,,,TRUE
8,8,1,Production Unit,Production Unit,1,Prod.,Prod.,FALSE,,TRUE
10,2,2,Kilowatt-Hour,Kilowatt-Hour,0.0036,kWH,kWH,,,TRUE
11,2,2,Gigawatt-Hour,Gigawatt-Hour,3600,GWH,GWH,,,TRUE
12,2,2,British Thermal Unit,British Thermal Unit,1.06E-06,Btu,Btu,,,TRUE
13,2,2,Kilocalorie,Kilocalorie,4.19E-06,kcal,kcal,,,TRUE
14,2,2,Megawatt-Hour,Megawatt-Hour,3.6,MWH,MWH,,,TRUE
16,2,2,Therm,Therm,0.1054,therm,therm,,,TRUE
17,2,2,Quad (10^15 BTU),Quad (10^15 BTU),1.054E+12,Quad,Quad,,,TRUE
18,2,2,Terajoule,Terajoule,1000,TJ,TJ,,,TRUE
19,2,2,Petajoule,Petajoule,1000000,PJ,PJ,,,TRUE
20,3,2,Liter,Liter,0.001,L,L,,,TRUE
21,3,1,Cubic Meter,Cubic Meter,1,m^3,m^3,,,TRUE
22,3,6,Imp. Gallon,Imp. Gallon,0.00454609,imp. gal,imp. gal,,,TRUE
23,3,5,Gallon,Gallon,0.003785412,gal,gal,,,TRUE
24,3,2,Cubic Feet,Cubic Feet,0.028316847,ft^3,ft^3,,,TRUE
25,3,3,Acre-foot,Acre-foot,1233.482,AF,AF,,,TRUE
26,3,4,Acre-inch,Acre-inch,102.7902,AI,AI,,,TRUE
27,4,1,Kilometer,Kilometer,1000,km,km,,,TRUE
28,4,2,Mile,Mile,1609.347219,mile,mile,,,TRUE
29,4,2,Meter,Meter,1,m,m,,,TRUE
30,4,2,Yard,Yard,0.9144,yards,yards,,,TRUE
31,4,2,Feet,Feet,0.30480061,ft,ft,,,TRUE
32,5,3,Hectare,Hectare,10000,ha,ha,,,TRUE
33,5,1,Square Meter,Square Meter,1,M^2,M^2,,,TRUE
34,5,3,Acre,Acre,4046.8564,AC,AC,,,TRUE
35,5,3,Square Kilometer,Square Kilometer,1000000,km^2,km^2,,,TRUE
36,5,3,Square Mile,Square Mile,2589988.11,sq mi,sq mi,,,TRUE
42,11,1,Kilowatt,Kilowatt,1,kW,kW,,,TRUE
43,11,2,Megawatt,Megawatt,1000,MW,MW,,,TRUE
47,12,1,U.S. Dollar,U.S. Dollar,1,$,$,,,TRUE
48,12,2,U.K. Pounds Sterling,U.K. Pounds Sterling,1.4497,£,£,,,FALSE
49,12,2,Japanese Yen,Japanese Yen,0.0094,¥,¥,,,FALSE
50,12,2,French Franc,French Franc,0.1363,FFr,FFr,,,FALSE
51,12,2,European Euro,European Euro,0.8934,€,€,,,FALSE
52,11,6,Gigawatt,Gigawatt,1000000,GW,GW,,,TRUE
53,11,7,Gigajoules/Year,Gigajoules/Year,0.0317098,GJ/Y,GJ/Y,,,TRUE
56,12,2,German Marks,German Marks,0.4571,DM,DM,,,FALSE
57,12,2,Indian Rupee,Indian Rupee,0.0218,INR,INR,,,FALSE
58,12,2,Chinese Yuan,Chinese Yuan,0.1209,Yuan,Yuan,,,FALSE
74,7,2,Household,Household,1,HHold,HHold,,,TRUE
75,6,1,Person,Person,1,cap,cap,,,TRUE
76,17,3,Building,Building,1,bldg,bldg,,,TRUE
78,17,5,Device,Device,1,dev,dev,,,TRUE
83,12,2,U.S. cent,U.S. cent,0.01,cent,cent,,,FALSE
